Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2018-04-03;40.0179;40.2812;39.3599;40.1924;126848702.10541
2018-04-04;39.3599;41.0568;39.3321;40.962;144978368.30584
2018-04-05;41.1954;41.5861;41.0748;41.2472;112835588.0871
2018-04-06;40.8085;41.1714;40.1475;40.1894;146653317.72406
2018-04-09;40.5473;41.32;40.5374;40.5892;121568603.65059
2018-04-10;41.297;41.5283;40.9431;41.3569;119715772.30436
2018-04-11;41.1126;41.5113;40.982;41.1614;93976494.743554
2018-04-12;41.3907;41.7736;41.307;41.5633;95893776.078233
2018-04-13;41.7198;41.973;41.4945;41.7098;105257102.37792
2018-04-16;41.7806;42.0537;41.7307;41.968;90401957.796433
2018-04-17;42.1215;42.7127;42.1016;42.5482;111462470.52099
2018-04-18;42.4445;42.6828;42.2173;42.4515;86950336.628641
2018-04-19;41.7606;41.8663;41.2133;41.2472;145830133.47135
2018-04-20;40.7227;40.8663;39.4856;39.5554;274372606.2292
2018-04-23;39.8225;39.8405;39.1675;39.4447;152980187.34565
2018-04-24;39.5434;39.7019;38.4837;38.8864;141151404.74491
2018-04-25;38.8146;39.4836;38.7658;39.0609;118905644.75628
2018-04-26;39.1735;39.5574;38.992;39.1995;117149970.85989
2018-04-27;39.1446;39.2263;38.3401;38.7468;149378767.64975
2018-04-30;38.7059;39.9233;38.6381;39.4487;177748052.90227
2018-05-01;39.7218;40.3858;39.4517;40.3658;224426836.21286
2018-05-02;41.8264;42.4286;41.4815;42.1415;278764131.58785
2018-05-03;41.983;42.3678;41.638;42.2193;142727332.04295
2018-05-04;42.5512;43.9778;42.5342;43.8821;235453247.85284
2018-05-07;44.2012;44.7954;44.0974;44.1962;177848592.63743
2018-05-08;44.1534;44.4505;43.8423;44.4115;118992344.40459
2018-05-09;44.5281;44.7286;44.2112;44.7196;97242599.768158
2018-05-10;44.8133;45.4394;44.7914;45.3587;117260043.58428
2018-05-11;45.4025;45.5411;44.918;45.1891;109393252.15514
2018-05-14;45.2899;45.4125;45.0127;45.0825;86717476.515351
2018-05-15;44.7535;44.8252;44.3557;44.6707;98888626.233454
2018-05-16;44.586;45.1593;44.5681;45.0905;80057991.430583
2018-05-17;45.0456;45.2679;44.6538;44.8054;72174360.794444
2018-05-18;44.8552;45.0008;44.5999;44.6418;76363160.677392
2018-05-21;45.0456;45.3487;44.7854;44.9598;76793261.587822
2018-05-22;45.1393;45.2599;44.7535;44.8482;63605076.126544
2018-05-23;44.6508;45.1673;44.5103;45.1343;83711158.487032
2018-05-24;45.2331;45.2499;44.6179;45.0825;96963940.382095
2018-05-25;45.1024;45.4424;44.9628;45.1871;72871033.332807
2018-05-29;44.9519;45.2291;44.7754;45.0207;93959533.164435
2018-05-30;44.9808;45.0456;44.7535;44.928;78002539.92892
2018-05-31;44.8632;45.1024;44.6029;44.7754;114695823.95
2018-06-01;45.0426;45.591;44.9888;45.585;97834228.875906
2018-06-04;45.9209;46.3456;45.8511;45.9667;109618425.89463
